날짜,A,B,C,D,E,F,G
Oct.22,10840,43240,8170,12690,107920,,
Nov.22,5880,44510,5500,13990,113760,,
Dec.22,6410,47900,5490,17290,104630," 62,490 ",
Jan.23,6330,48670,7060,18210,115950," 68,680 ",
Feb.23,4640,48300,7680,17210,94760," 91,740 ",
Mar.23,7080,40590,6000,10910,106450," 82,430 ",
Apr.23,7780,46280,6390,11220,84010," 82,310 ",
May.23,5920,43170,6520,10140,78540," 93,830 ",
Jun.23,7250,49170,7910,26690,108640," 138,850 ",10420
Jul.23,8080,59060,16280,18100,125870," 177,200 ",6050
Aug.23,14010,103340,18250,19240,140950," 159,280 ",12170
Sep.23,13680,56070,22707,16190,106880," 92,380 ",10200
Oct.23,9940,44080,9950,12890,107920,,13700
Nov.23,6890,51510,8330,13820,113760,,14750
Dec.23,8110,55530,8710,10900,104630," 62,490 ",12150
Jan.24,6360,57860,6530,11210,115950," 68,680 ",11410
Feb.24,8340,53630,9470,11840,94760," 91,740 ",9580
Mar.24,7270,47690,8190,9980,106450," 82,430 ",16380
Apr.24,7270,48530,9890,11220,84010," 82,310 ",11540
May.24,7570,47900,7680,21580,78540," 93,830 ",13370
Jun.24,7270,52990,9460,15210,108640," 138,850 ",13980
Jul.24,10150,62850,9700,20260,125870," 177,200 ",17440
Aug.24,14980,118980,22460,17210,140950," 159,280 ",18310
Sep.24,16040,82100,27376,15620,106880," 92,380 ",18800
